Group: [4345, 7029, 2500]
4345:
< 0, 29, 3237.239024177677, Request, 4345 >
< 29, 290, 3239.230149731149, Request, 4345 >
< 290, 159, 3239.547773795835, Request, 4345 >
< 159, 382, 3240.9135557703585, Request, 4345 >
< 382, 294, 3242.870335939004, Request, 4345 >
< 294, 382, 3243.698164215111, Response, 4345 >
< 382, 159, 3245.0893440482514, Response, 4345 >
< 159, 329, 3246.6995567987738, Request, 4345 >
< 329, 244, 3247.8893497941076, Request, 4345 >
< 244, 224, 3248.1835934565797, Request, 4345 >
< 224, 188, 3249.7069926365944, Request, 4345 >
< 188, 319, 3250.4183559788116, Request, 4345 >
< 319, 188, 3251.3340221755825, Response, 4345 >
< 188, 224, 3251.6331139209137, Response, 4345 >
< 224, 244, 3252.2269659960593, Response, 4345 >
< 244, 166, 3253.340161873314, Request, 4345 >
< 166, 390, 3254.8556475679393, Request, 4345 >
< 390, 60, 3255.6414490944567, Request, 4345 >
< 60, 390, 3256.3687518616166, Response, 4345 >
< 390, 168, 3257.1596533272163, Request, 4345 >
< 168, 390, 3259.0419529915066, Response, 4345 >
< 390, 246, 3259.604479712678, Request, 4345 >
< 246, 206, 3260.83618098855, Request, 4345 >
< 206, 332, 3262.3450123554703, Request, 4345 >
< 332, 234, 3263.035185838351, Request, 4345 >
< 234, 332, 3263.632350994039, Response, 4345 >
< 332, 206, 3264.499669729105, Response, 4345 >
< 206, 246, 3266.375364540273, Response, 4345 >
< 246, 153, 3267.1344293998845, Request, 4345 >
< 153, 215, 3268.18661988087, Request, 4345 >
< 215, 358, 3269.3453575623607, Request, 4345 >
< 358, 248, 3270.157040856286, Request, 4345 >
< 248, 217, 3271.7099190438676, Request, 4345 >
< 217, 495, 3273.3992959481707, Request, 4345 >
< 495, 56, 3275.3721484437774, Request, 4345 >
< 56, 461, 3275.9233468263674, Request, 4345 >
< 461, 56, 3276.4507897942235, Response, 4345 >
< 56, 495, 3278.4029290435483, Response, 4345 >
< 495, 352, 3279.4339339289677, Request, 4345 >
< 352, 194, 3280.100827667867, Request, 4345 >
< 194, 163, 3281.3954953748084, Request, 4345 >
< 163, 194, 3281.6428561575844, Response, 4345 >
< 194, 352, 3282.6242584607194, Response, 4345 >
< 352, 495, 3284.119890901939, Response, 4345 >
< 495, 217, 3284.48062186117, Response, 4345 >
< 217, 248, 3284.934904839605, Response, 4345 >
< 248, 358, 3285.5712512864934, Response, 4345 >
< 358, 215, 3286.5846947488108, Response, 4345 >
< 215, 33, 3288.4152572089533, Request, 4345 >
< 33, 230, 3288.763933604624, Request, 4345 >
< 230, 33, 3290.070076304097, Response, 4345 >
< 33, 75, 3291.293710682631, Request, 4345 >
< 75, 33, 3291.7400563759556, Response, 4345 >
< 33, 215, 3292.1458476330276, Response, 4345 >
< 215, 153, 3292.5822803320307, Response, 4345 >
< 153, 164, 3294.132232168478, Request, 4345 >
< 164, 153, 3295.6332014609543, Response, 4345 >
< 153, 239, 3296.384920930772, Request, 4345 >
< 239, 276, 3298.244891869659, Request, 4345 >
< 276, 316, 3298.8920254279246, Request, 4345 >
< 316, 58, 3300.776389651736, Request, 4345 >
< 58, 316, 3301.0440950737966, Response, 4345 >
< 316, 55, 3301.8058809925537, Request, 4345 >
< 55, 240, 3302.6544154127587, Request, 4345 >
< 240, 133, 3304.594631890799, Request, 4345 >
< 133, 240, 3305.6228302951836, Response, 4345 >
< 240, 411, 3306.317039505855, Request, 4345 >
< 411, 417, 3308.188937441085, Request, 4345 >
< 417, 343, 3308.6503191570637, Request, 4345 >
< 343, 417, 3310.393277492916, Response, 4345 >
< 417, 411, 3311.068474886048, Response, 4345 >
< 411, 448, 3311.3214652687875, Request, 4345 >
< 448, 411, 3311.6061281788957, Response, 4345 >
< 411, 240, 3312.577595310083, Response, 4345 >
< 240, 55, 3313.2919165383373, Response, 4345 >
< 55, 122, 3313.525771539184, Request, 4345 >
< 122, 55, 3314.0987346035486, Response, 4345 >
< 55, 31, 3315.4177405014566, Request, 4345 >
< 31, 55, 3316.636456032652, Response, 4345 >
< 55, 316, 3318.2530705668655, Response, 4345 >
< 316, 276, 3319.463639966901, Response, 4345 >
< 276, 239, 3321.0059104156976, Response, 4345 >
< 239, 153, 3321.415604192272, Response, 4345 >
< 153, 246, 3322.1752484588797, Response, 4345 >
< 246, 390, 3322.8996576596496, Response, 4345 >
< 390, 166, 3323.5325271919874, Response, 4345 >
< 166, 195, 3323.971503680029, Request, 4345 >
< 195, 223, 3325.018164579103, Request, 4345 >
< 223, 195, 3326.4302085111817, Response, 4345 >
< 195, 166, 3327.8627628331155, Response, 4345 >
< 166, 244, 3328.144520655813, Response, 4345 >
< 244, 329, 3329.0561685870234, Response, 4345 >
< 329, 159, 3329.814592960176, Response, 4345 >
< 159, 290, 3330.599504946522, Response, 4345 >
< 290, 29, 3331.2286184488366, Response, 4345 >
< 29, 0, 3331.6299042209666, Response, 4345 >
7029:
< 0, 29, 301.45763002785753, Request, 7029 >
< 29, 290, 302.012076037205, Request, 7029 >
< 290, 159, 302.31849447504675, Request, 7029 >
< 159, 382, 303.34904314195086, Request, 7029 >
< 382, 294, 303.78716984291634, Request, 7029 >
< 294, 382, 304.4697725647996, Response, 7029 >
< 382, 159, 305.1915604890473, Response, 7029 >
< 159, 329, 307.0396077894229, Request, 7029 >
< 329, 244, 307.8655963524916, Request, 7029 >
< 244, 224, 308.3116532049653, Request, 7029 >
< 224, 188, 310.05820405298385, Request, 7029 >
< 188, 319, 310.8267032327236, Request, 7029 >
< 319, 188, 312.1458104357554, Response, 7029 >
< 188, 224, 313.59811768585047, Response, 7029 >
< 224, 244, 315.1072848024872, Response, 7029 >
< 244, 166, 316.2442972482011, Request, 7029 >
< 166, 390, 318.04185867516384, Request, 7029 >
< 390, 246, 319.44291663673135, Request, 7029 >
< 246, 206, 321.1719639014229, Request, 7029 >
< 206, 332, 322.12204470819216, Request, 7029 >
< 332, 234, 323.68166168579364, Request, 7029 >
< 234, 460, 323.98472211866954, Request, 7029 >
< 460, 234, 325.7590025104259, Response, 7029 >
< 234, 332, 327.7565681651934, Response, 7029 >
< 332, 206, 328.23306638154816, Response, 7029 >
< 206, 246, 329.1229146055104, Response, 7029 >
< 246, 153, 330.93794716953795, Request, 7029 >
< 153, 164, 332.52893894655404, Request, 7029 >
< 164, 153, 332.96990944903416, Response, 7029 >
< 153, 215, 334.86756264131384, Request, 7029 >
< 215, 358, 335.14971754902365, Request, 7029 >
< 358, 248, 336.9434422157288, Request, 7029 >
< 248, 217, 338.04665973233847, Request, 7029 >
< 217, 495, 339.36335990721784, Request, 7029 >
< 495, 56, 340.3321392574194, Request, 7029 >
< 56, 461, 341.6218254762166, Request, 7029 >
< 461, 56, 343.072858621521, Response, 7029 >
< 56, 495, 344.09810258661474, Response, 7029 >
< 495, 352, 345.2359643249677, Request, 7029 >
< 352, 194, 345.4655580589621, Request, 7029 >
< 194, 163, 345.83645728428667, Request, 7029 >
< 163, 194, 347.3062263852252, Response, 7029 >
< 194, 352, 349.2749838844093, Response, 7029 >
< 352, 495, 350.75292189555495, Response, 7029 >
< 495, 217, 351.04261238164054, Response, 7029 >
< 217, 248, 352.27437319425917, Response, 7029 >
< 248, 358, 353.2443474014707, Response, 7029 >
< 358, 215, 355.0681135237529, Response, 7029 >
< 215, 33, 355.6327124242124, Request, 7029 >
< 33, 230, 355.9432091785351, Request, 7029 >
< 230, 33, 356.2585061268169, Response, 7029 >
< 33, 75, 356.7912740621464, Request, 7029 >
< 75, 33, 357.5976950047745, Response, 7029 >
< 33, 215, 359.4136531613162, Response, 7029 >
< 215, 153, 361.2811599564522, Response, 7029 >
< 153, 239, 362.5127397353825, Request, 7029 >
< 239, 276, 363.52365141406284, Request, 7029 >
< 276, 316, 363.8493281535902, Request, 7029 >
< 316, 55, 364.8460599458617, Request, 7029 >
< 55, 31, 365.0964557286239, Request, 7029 >
< 31, 55, 366.72028248437556, Response, 7029 >
< 55, 240, 367.50898645503594, Request, 7029 >
< 240, 133, 369.16376480872145, Request, 7029 >
< 133, 240, 370.3583159377626, Response, 7029 >
< 240, 411, 371.32309570709765, Request, 7029 >
< 411, 417, 371.63939059080883, Request, 7029 >
< 417, 343, 373.44809441259855, Request, 7029 >
< 343, 417, 374.32225115770456, Response, 7029 >
< 417, 411, 375.3257119989908, Response, 7029 >
< 411, 448, 376.63849233627593, Request, 7029 >
< 448, 411, 377.6253498014938, Response, 7029 >
